Train Acc.	Valid Acc.	
99.716000	93.650000	
99.754000	93.730000	
99.774000	93.760000	
99.732000	93.810000	
99.786000	93.850000	
99.826000	93.720000	
99.818000	93.950000	
99.776000	93.960000	
99.872000	94.060000	
99.812000	93.910000	
99.864000	94.020000	
99.874000	93.950000	
99.834000	93.900000	
99.844000	94.000000	
99.864000	93.920000	
99.858000	94.010000	
99.842000	93.990000	
99.826000	94.060000	
99.858000	93.990000	
99.844000	93.960000	
99.862000	94.030000	
99.856000	94.100000	
99.872000	93.910000	
99.858000	93.940000	
99.830000	94.000000	
99.838000	94.070000	
99.858000	94.000000	
99.822000	93.890000	
99.794000	93.950000	
99.792000	93.940000	
99.744000	93.680000	
99.608000	93.680000	
99.596000	93.610000	
99.354000	92.950000	
99.218000	92.570000	
98.946000	92.720000	
98.764000	92.010000	
98.548000	92.250000	
98.480000	92.010000	
98.194000	91.870000	
97.822000	91.880000	
97.610000	91.680000	
97.252000	92.180000	
97.270000	90.870000	
96.872000	91.420000	
96.700000	91.210000	
96.778000	91.470000	
96.546000	91.110000	
96.150000	90.660000	
96.176000	90.450000	
95.952000	91.330000	
95.862000	90.150000	
95.640000	90.110000	
95.412000	90.600000	
95.290000	89.740000	
95.194000	89.100000	
95.142000	90.070000	
95.010000	89.310000	
95.016000	90.300000	
94.890000	89.570000	
94.772000	90.950000	
94.584000	89.280000	
94.576000	89.920000	
94.358000	87.680000	
94.062000	89.400000	
94.252000	90.450000	
94.186000	89.250000	
93.980000	90.160000	
94.022000	87.510000	
93.896000	89.040000	
93.760000	88.380000	
93.846000	89.270000	
93.694000	86.860000	
93.522000	89.270000	
93.644000	87.870000	
93.358000	88.310000	
93.060000	86.620000	
93.180000	88.920000	
92.948000	87.060000	
92.984000	86.410000	
92.916000	88.920000	
92.882000	88.530000	
92.696000	86.810000	
92.844000	84.960000	
92.480000	88.860000	
92.336000	89.360000	
92.244000	86.980000	
92.290000	89.000000	
92.130000	87.400000	
92.188000	86.410000	
91.928000	86.790000	
92.046000	88.670000	
91.758000	88.310000	
91.694000	85.940000	
91.554000	85.170000	
91.544000	88.640000	
91.418000	86.770000	
91.164000	86.430000	
91.178000	86.160000	
90.958000	87.770000	
90.932000	87.340000	
90.868000	89.310000	
90.888000	86.910000	
90.962000	85.500000	
90.776000	85.240000	
90.466000	87.500000	
90.710000	85.140000	
90.324000	85.720000	
90.380000	84.520000	
90.164000	88.020000	
90.306000	85.900000	
89.760000	87.800000	
90.192000	85.200000	
89.852000	82.860000	
90.048000	87.260000	
