Train Acc.	Valid Acc.	
76.300000	92.550000	
77.560000	92.860000	
75.784000	92.300000	
79.822000	93.710000	
76.526000	93.850000	
74.230000	93.580000	
75.826000	92.620000	
75.412000	93.480000	
76.378000	93.200000	
77.366000	93.340000	
76.416000	93.910000	
78.846000	93.870000	
80.142000	93.860000	
76.276000	93.270000	
79.270000	93.380000	
78.890000	93.590000	
76.048000	93.580000	
77.278000	93.770000	
76.214000	94.100000	
77.182000	93.320000	
78.360000	93.220000	
77.272000	93.740000	
74.334000	94.170000	
76.260000	93.160000	
79.788000	94.350000	
80.812000	93.890000	
79.052000	93.710000	
77.778000	93.970000	
81.474000	94.030000	
80.982000	93.860000	
80.848000	93.950000	
78.782000	94.150000	
79.082000	94.180000	
79.492000	94.250000	
84.086000	94.380000	
81.924000	94.560000	
78.620000	94.240000	
80.462000	94.340000	
79.066000	94.480000	
78.090000	94.290000	
81.098000	94.590000	
80.666000	94.810000	
78.326000	94.720000	
79.264000	94.810000	
80.978000	94.720000	
79.834000	94.550000	
79.054000	94.840000	
78.516000	94.800000	
78.402000	94.650000	
79.302000	94.870000	
82.436000	94.900000	
80.142000	94.850000	
80.694000	94.810000	
77.486000	94.720000	
75.904000	94.700000	
78.042000	94.670000	
80.004000	94.870000	
80.270000	94.800000	
81.624000	94.950000	
80.228000	94.830000	
85.034000	94.840000	
80.548000	94.870000	
81.370000	94.970000	
79.818000	94.930000	
83.472000	95.030000	
80.022000	95.030000	
78.764000	94.950000	
84.524000	95.040000	
82.980000	94.960000	
79.860000	95.140000	
81.294000	94.850000	
80.720000	94.980000	
78.620000	95.010000	
82.594000	94.970000	
84.456000	95.040000	
82.318000	95.080000	
81.846000	94.980000	
81.420000	95.070000	
79.344000	94.980000	
80.374000	95.010000	
82.378000	94.910000	
80.228000	94.960000	
81.222000	95.030000	
81.156000	95.040000	
78.048000	94.980000	
80.586000	94.940000	
80.642000	95.040000	
82.294000	95.030000	
85.136000	95.100000	
81.896000	94.960000	
82.992000	94.970000	
81.402000	94.880000	
81.162000	94.920000	
80.300000	94.810000	
78.500000	94.820000	
79.610000	94.920000	
81.056000	94.990000	
83.980000	94.960000	
80.332000	94.650000	
80.042000	94.690000	
77.206000	94.860000	
